package	version	declared_license	source
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
litemap	0.8.2	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
lock_api	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
log	0.4.29	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
md-5	0.10.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
md-5	0.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
memchr	2.8.0	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
minimal-lexical	0.2.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
mio	1.2.0	MIT	registry+https://github.com/rust-lang/crates.io-index
multimap	0.10.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nom	7.1.3	MIT	registry+https://github.com/rust-lang/crates.io-index
num-bigint	0.4.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-bigint-dig	0.8.6	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-integer	0.1.46	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-iter	0.1.46	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-traits	0.2.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
objc2-core-foundation	0.3.2	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
objc2-system-configuration	0.3.2	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
once_cell	1.21.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
parking	2.2.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
parking_lot	0.12.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
parking_lot_core	0.9.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pbkdf2	0.12.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
peeking_take_while	0.1.2	Apache-2.0/MIT	registry+https://github.com/rust-lang/crates.io-index
pem-rfc7468	0.7.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
percent-encoding	2.3.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
petgraph	0.7.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pg_query	6.1.1	MIT	registry+https://github.com/rust-lang/crates.io-index
phf	0.13.1	MIT	registry+https://github.com/rust-lang/crates.io-index
phf_shared	0.13.1	MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project-lite	0.2.17	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pkcs1	0.7.5	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pkcs8	0.10.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pkg-config	0.3.33	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
plain	0.2.3	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
postgres-protocol	0.6.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
postgres-types	0.2.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
potential_utf	0.1.5	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
ppv-lite86	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prettyplease	0.2.37	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro2	1.0.106	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost	0.13.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-build	0.13.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-derive	0.13.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-types	0.13.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
quote	1.0.45	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
rand	0.10.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_chacha	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.10.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.6.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.9.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_xoshiro	0.7.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
redox_syscall	0.5.18	MIT	registry+https://github.com/rust-lang/crates.io-index
redox_syscall	0.7.5	MIT	registry+https://github.com/rust-lang/crates.io-index
regex	1.12.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex-automata	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex-syntax	0.8.11	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ring	0.17.14	Apache-2.0 AND ISC	registry+https://github.com/rust-lang/crates.io-index
rsa	0.9.10	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustc-hash	1.1.0	Apache-2.0/MIT	registry+https://github.com/rust-lang/crates.io-index
rustc_version	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls	0.23.40	Apache-2.0 OR ISC OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls-pki-types	1.14.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustls-webpki	0.103.13	ISC	registry+https://github.com/rust-lang/crates.io-index
rustversion	1.0.22	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ryu	1.0.23	Apache-2.0 OR BSL-1.0	registry+https://github.com/rust-lang/crates.io-index
safe_arch	0.7.4	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
scopeguard	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
semver	1.0.28	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_core	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_derive	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_json	1.0.149	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_urlencoded	0.7.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha1	0.10.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha2	0.10.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha2	0.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
shlex	1.3.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
shlex	2.0.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signature	2.2.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
siphasher	1.0.3	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
slab	0.4.12	MIT	registry+https://github.com/rust-lang/crates.io-index
smallvec	1.15.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
socket2	0.6.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
spin	0.9.9	MIT	registry+https://github.com/rust-lang/crates.io-index
spki	0.7.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
sqlx	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlx-core	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlx-macros	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlx-macros-core	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlx-mysql	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlx-postgres	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlx-sqlite	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
stable_deref_trait	1.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
stringprep	0.1.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
subtle	2.6.1	BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
syn	2.0.117	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
synstructure	0.13.2	MIT	registry+https://github.com/rust-lang/crates.io-index
tempfile	3.27.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror	1.0.69	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror	2.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	1.0.69	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	2.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tikv-jemalloc-sys	0.6.1+5.3.0-1-ge13ca993e8ccb9ba9847cc330696e02839f328f7	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tikv-jemallocator	0.6.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tinystr	0.8.3	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
tinyvec	1.11.0	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib	registry+https://github.com/rust-lang/crates.io-index
tokio	1.52.3	MIT	registry+https://github.com/rust-lang/crates.io-index
tokio-macros	2.7.0	MIT	registry+https://github.com/rust-lang/crates.io-index
tokio-postgres	0.7.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tokio-stream	0.1.18	MIT	registry+https://github.com/rust-lang/crates.io-index
tokio-util	0.7.18	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing	0.1.44	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-attributes	0.1.31	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-core	0.1.36	MIT	registry+https://github.com/rust-lang/crates.io-index
typenum	1.20.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-bidi	0.3.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
unicode-normalization	0.1.25	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
